1.00,74.00
1.00,122.00
1.00,127.00
1.00,122.00
1.00,119.00
1.00,115.00
1.00,112.00
1.00,106.00
1.00,99.00
1.00,101.00
1.00,98.00
1.00,101.00
1.00,104.00
1.00,110.00
1.00,115.00
1.00,118.00
1.00,122.00
1.00,120.00
1.00,112.00
1.00,109.00
1.00,104.00
1.00,103.00
1.00,99.00
1.00,99.00
1.00,100.00
1.00,107.00
1.00,113.00
1.00,116.00
1.00,122.00
1.00,123.00
1.00,118.00
1.00,116.00
1.00,111.00
1.00,108.00
1.00,105.00
1.00,101.00
1.00,97.00
1.00,103.00
1.00,107.00
1.00,112.00
1.00,117.00
1.00,123.00
1.00,124.00
1.00,124.00
1.00,120.00
1.00,118.00
1.00,115.00
1.00,106.00
1.00,109.00
1.00,106.00
1.00,106.00
1.00,107.00
1.00,116.00
1.00,124.00
1.00,127.00
1.00,132.00
1.00,130.00
1.00,126.00
1.00,124.00
1.00,116.00
1.00,117.00
1.00,111.00
1.00,109.00
1.00,111.00
1.00,111.00
1.00,116.00
1.00,123.00
1.00,126.00
1.00,130.00
1.00,130.00
1.00,127.00
1.00,124.00
1.00,123.00
1.00,116.00
1.00,112.00
1.00,108.00
1.00,105.00
1.00,110.00
1.00,110.00
1.00,117.00
1.00,124.00
1.00,126.00
1.00,126.00
1.00,127.00
1.00,126.00
1.00,119.00
1.00,116.00
1.00,111.00
1.00,107.00
1.00,103.00
1.00,103.00
1.00,107.00
1.00,113.00
1.00,116.00
1.00,120.00
1.00,122.00
1.00,124.00
1.00,120.00
1.00,116.00
1.00,114.00
1.00,106.00
1.00,103.00
1.00,101.00
1.00,101.00
1.00,102.00
1.00,107.00
1.00,113.00
1.00,119.00
1.00,123.00
1.00,124.00
1.00,119.00
1.00,118.00
1.00,109.00
1.00,110.00
1.00,103.00
1.00,98.00
1.00,96.00
1.00,95.00
1.00,97.00
1.00,106.00
1.00,110.00
1.00,114.00
1.00,118.00
1.00,118.00
1.00,113.00
1.00,109.00
1.00,103.00
1.00,101.00
1.00,96.00
1.00,96.00
1.00,92.00
1.00,92.00
1.00,99.00
1.00,102.00
1.00,107.00
1.00,113.00
1.00,112.00
1.00,107.00
1.00,105.00
1.00,104.00
1.00,101.00
1.00,95.00
1.00,92.00
1.00,85.00
1.00,86.00
1.00,87.00
1.00,90.00
1.00,98.00
1.00,99.00
1.00,102.00
1.00,104.00
1.00,101.00
1.00,100.00
1.00,95.00
1.00,93.00
1.00,89.00
1.00,82.00
1.00,83.00
1.00,82.00
1.00,82.00
1.00,89.00
1.00,94.00
1.00,97.00
1.00,96.00
1.00,98.00
1.00,95.00
1.00,91.00
1.00,87.00
1.00,84.00
1.00,80.00
1.00,77.00
1.00,75.00
1.00,75.00
1.00,76.00
1.00,85.00
1.00,85.00
1.00,91.00
1.00,93.00
1.00,93.00
1.00,88.00
1.00,87.00
1.00,88.00
1.00,83.00
1.00,79.00
1.00,74.00
1.00,74.00
1.00,73.00
1.00,75.00
1.00,80.00
1.00,82.00
1.00,89.00
1.00,91.00
1.00,91.00
1.00,90.00
1.00,84.00
1.00,82.00
1.00,77.00
1.00,71.00
1.00,71.00
1.00,66.00
1.00,68.00
1.00,72.00
1.00,79.00
1.00,84.00
1.00,87.00
1.00,90.00
1.00,90.00
1.00,89.00
1.00,85.00
1.00,81.00
1.00,77.00
1.00,72.00
1.00,69.00
1.00,70.00
1.00,66.00
1.00,70.00
1.00,76.00
1.00,82.00
1.00,84.00
1.00,89.00
1.00,91.00
1.00,88.00
1.00,86.00
1.00,83.00
1.00,77.00
1.00,73.00
1.00,71.00
1.00,71.00
1.00,70.00
1.00,74.00
1.00,78.00
1.00,85.00
1.00,92.00
1.00,92.00
1.00,94.00
1.00,90.00
1.00,89.00
1.00,86.00
1.00,78.00
1.00,79.00
1.00,76.00
1.00,76.00
1.00,79.00
1.00,80.00
1.00,88.00
1.00,91.00
1.00,97.00
1.00,101.00
1.00,101.00
1.00,100.00
1.00,98.00
1.00,98.00
1.00,93.00
1.00,88.00
1.00,89.00
1.00,85.00
1.00,84.00
1.00,87.00
1.00,95.00
1.00,100.00
1.00,104.00
1.00,110.00
1.00,107.00
1.00,107.00
1.00,104.00
1.00,99.00
1.00,97.00
1.00,91.00
1.00,88.00
1.00,87.00
1.00,88.00
1.00,90.00
1.00,95.00
1.00,99.00
1.00,104.00
1.00,104.00
1.00,106.00
1.00,104.00
1.00,102.00
1.00,98.00
1.00,93.00
1.00,88.00
1.00,82.00
1.00,83.00
1.00,81.00
1.00,81.00
1.00,85.00
1.00,89.00
1.00,94.00
1.00,97.00
1.00,100.00
1.00,98.00
1.00,94.00
1.00,95.00
1.00,83.00
1.00,82.00
1.00,76.00
1.00,74.00
1.00,71.00
1.00,68.00
1.00,76.00
1.00,77.00
1.00,85.00
1.00,88.00
1.00,90.00
1.00,89.00
1.00,86.00
1.00,88.00
1.00,80.00
1.00,78.00
1.00,75.00
1.00,70.00
1.00,69.00
1.00,68.00
1.00,71.00
1.00,78.00
1.00,82.00
1.00,85.00
1.00,88.00
1.00,90.00
1.00,86.00
1.00,84.00
1.00,80.00
1.00,76.00
1.00,77.00
1.00,71.00
1.00,68.00
1.00,67.00
1.00,67.00
1.00,72.00
1.00,75.00
1.00,79.00
1.00,83.00
1.00,87.00
1.00,86.00
1.00,82.00
1.00,79.00
1.00,74.00
1.00,70.00
1.00,65.00
1.00,61.00
1.00,60.00
1.00,58.00
1.00,62.00
1.00,66.00
1.00,67.00
1.00,72.00
1.00,73.00
1.00,75.00
1.00,71.00
1.00,61.00
1.00,62.00
1.00,55.00
1.00,51.00
1.00,44.00
1.00,42.00
1.00,42.00
1.00,45.00
1.00,48.00
1.00,49.00
1.00,54.00
1.00,56.00
1.00,57.00
1.00,57.00
1.00,53.00
1.00,49.00
1.00,41.00
1.00,39.00
1.00,38.00
1.00,32.00
1.00,33.00
1.00,34.00
1.00,37.00
1.00,42.00
1.00,49.00
1.00,51.00
1.00,53.00
1.00,53.00
1.00,52.00
1.00,48.00
1.00,45.00
1.00,42.00
1.00,37.00
1.00,34.00
1.00,30.00
1.00,29.00
1.00,31.00
1.00,38.00
1.00,42.00
1.00,47.00
1.00,52.00
1.00,51.00
1.00,54.00
1.00,50.00
1.00,46.00
1.00,44.00
1.00,37.00
1.00,37.00
1.00,32.00
1.00,34.00
1.00,32.00
1.00,34.00
1.00,41.00
1.00,43.00
1.00,51.00
1.00,51.00
1.00,54.00
1.00,50.00
1.00,49.00
1.00,47.00
1.00,40.00
1.00,39.00
1.00,35.00
1.00,35.00
1.00,30.00
1.00,31.00
1.00,39.00
1.00,44.00
1.00,51.00
1.00,52.00
1.00,56.00
1.00,63.00
1.00,72.00
1.00,91.00
1.00,117.00
1.00,157.00
1.00,199.00
1.00,250.00
1.00,302.00
